execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern
exec_v02_0000001,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,5382,2026-03-01T08:00:14.313Z,2026-03-01T08:00:19.695Z,2026-03-01T08:00:20.195Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000002,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,14943,2026-03-01T09:00:04.270Z,2026-03-01T09:00:19.213Z,2026-03-01T09:00:19.713Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000003,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4341,2026-03-01T10:00:34.863Z,2026-03-01T10:00:39.204Z,2026-03-01T10:00:39.704Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000004,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,failure,PROCESSING_FAILED,12449,2026-03-01T11:00:20.732Z,2026-03-01T11:00:33.181Z,2026-03-01T11:00:33.681Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000005,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,failure,PROCESSING_FAILED,4085,2026-03-01T12:00:44.920Z,2026-03-01T12:00:49.005Z,2026-03-01T12:00:49.505Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000006,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,9752,2026-03-01T13:00:14.288Z,2026-03-01T13:00:24.040Z,2026-03-01T13:00:24.540Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000007,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4101,2026-03-01T14:00:04.232Z,2026-03-01T14:00:08.333Z,2026-03-01T14:00:08.833Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000008,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,10778,2026-03-01T15:00:46.391Z,2026-03-01T15:00:57.169Z,2026-03-01T15:00:57.669Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000009,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,6117,2026-03-01T08:00:40.047Z,2026-03-01T08:00:46.164Z,2026-03-01T08:00:46.664Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000010,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,9626,2026-03-01T09:00:21.831Z,2026-03-01T09:00:31.457Z,2026-03-01T09:00:31.957Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000011,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,4050,2026-03-01T10:00:21.792Z,2026-03-01T10:00:25.842Z,2026-03-01T10:00:26.342Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000012,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,13584,2026-03-01T11:00:43.577Z,2026-03-01T11:00:57.161Z,2026-03-01T11:00:57.661Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000013,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,3269,2026-03-01T12:00:39.492Z,2026-03-01T12:00:42.761Z,2026-03-01T12:00:43.261Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000014,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,9549,2026-03-01T12:59:54.976Z,2026-03-01T13:00:04.525Z,2026-03-01T13:00:05.025Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000015,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,3965,2026-03-01T14:00:03.024Z,2026-03-01T14:00:06.989Z,2026-03-01T14:00:07.489Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000016,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,10818,2026-03-01T14:59:54.973Z,2026-03-01T15:00:05.791Z,2026-03-01T15:00:06.291Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000017,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,3668,2026-03-01T08:00:28.245Z,2026-03-01T08:00:31.913Z,2026-03-01T08:00:32.413Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000018,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,15738,2026-03-01T09:00:18.172Z,2026-03-01T09:00:33.910Z,2026-03-01T09:00:34.410Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000019,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,failure,PROCESSING_FAILED,3772,2026-03-01T10:00:40.361Z,2026-03-01T10:00:44.133Z,2026-03-01T10:00:44.633Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000020,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,11166,2026-03-01T11:00:40.540Z,2026-03-01T11:00:51.706Z,2026-03-01T11:00:52.206Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000021,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,5302,2026-03-01T12:00:07.304Z,2026-03-01T12:00:12.606Z,2026-03-01T12:00:13.106Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000022,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,12837,2026-03-01T13:00:03.350Z,2026-03-01T13:00:16.187Z,2026-03-01T13:00:16.687Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000023,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,4087,2026-03-01T14:00:07.143Z,2026-03-01T14:00:11.230Z,2026-03-01T14:00:11.730Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000024,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,12613,2026-03-01T14:59:58.919Z,2026-03-01T15:00:11.532Z,2026-03-01T15:00:12.032Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000025,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,3065,2026-03-01T08:00:05.997Z,2026-03-01T08:00:09.062Z,2026-03-01T08:00:09.562Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000026,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,8702,2026-03-01T09:00:42.483Z,2026-03-01T09:00:51.185Z,2026-03-01T09:00:51.685Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000027,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,4576,2026-03-01T10:00:21.056Z,2026-03-01T10:00:25.632Z,2026-03-01T10:00:26.132Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000028,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,11457,2026-03-01T10:59:57.745Z,2026-03-01T11:00:09.202Z,2026-03-01T11:00:09.702Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000029,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,4540,2026-03-01T12:00:46.166Z,2026-03-01T12:00:50.706Z,2026-03-01T12:00:51.206Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000030,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,12794,2026-03-01T13:00:28.293Z,2026-03-01T13:00:41.087Z,2026-03-01T13:00:41.587Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000031,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,5404,2026-03-01T14:00:41.146Z,2026-03-01T14:00:46.550Z,2026-03-01T14:00:47.050Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000032,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,9325,2026-03-01T15:00:07.476Z,2026-03-01T15:00:16.801Z,2026-03-01T15:00:17.301Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000033,account_demo_c,workspace_sparse,device_sparse_0,actor_sparse,clean-vector-pro,3.6.1,CLEAN ART,success,,4398,2026-03-01T08:00:10.036Z,2026-03-01T08:00:14.434Z,2026-03-01T08:00:14.934Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000034,account_demo_c,workspace_sparse,device_sparse_1,actor_sparse,sepmaker-pro,1.6.0,Apply,success,,8386,2026-03-01T09:00:01.063Z,2026-03-01T09:00:09.449Z,2026-03-01T09:00:09.949Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000035,account_demo_c,workspace_sparse,device_sparse_0,actor_sparse,clean-vector-pro,3.6.1,CLEAN ART,success,,4406,2026-03-01T10:00:45.849Z,2026-03-01T10:00:50.255Z,2026-03-01T10:00:50.755Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000036,account_demo_c,workspace_sparse,device_sparse_1,actor_sparse,sepmaker-pro,1.6.0,Apply,success,,8545,2026-03-01T11:00:01.250Z,2026-03-01T11:00:09.795Z,2026-03-01T11:00:10.295Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000037,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4745,2026-03-02T08:00:52.870Z,2026-03-02T08:00:57.615Z,2026-03-02T08:00:58.115Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000038,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,8894,2026-03-02T09:00:00.904Z,2026-03-02T09:00:09.798Z,2026-03-02T09:00:10.298Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000039,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4124,2026-03-02T10:00:23.109Z,2026-03-02T10:00:27.233Z,2026-03-02T10:00:27.733Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000040,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,14309,2026-03-02T10:59:55.194Z,2026-03-02T11:00:09.503Z,2026-03-02T11:00:10.003Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000041,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4334,2026-03-02T11:59:58.225Z,2026-03-02T12:00:02.559Z,2026-03-02T12:00:03.059Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000042,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,13507,2026-03-02T13:00:42.069Z,2026-03-02T13:00:55.576Z,2026-03-02T13:00:56.076Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000043,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,3570,2026-03-02T13:59:57.601Z,2026-03-02T14:00:01.171Z,2026-03-02T14:00:01.671Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000044,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,12838,2026-03-02T15:00:44.619Z,2026-03-02T15:00:57.457Z,2026-03-02T15:00:57.957Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000045,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,1224,2026-03-02T08:00:39.905Z,2026-03-02T08:00:41.129Z,2026-03-02T08:00:41.629Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,true,duration_drop
exec_v02_0000046,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,10919,2026-03-02T08:59:50.833Z,2026-03-02T09:00:01.752Z,2026-03-02T09:00:02.252Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000047,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,3285,2026-03-02T10:00:47.076Z,2026-03-02T10:00:50.361Z,2026-03-02T10:00:50.861Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000048,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,9583,2026-03-02T11:00:32.392Z,2026-03-02T11:00:41.975Z,2026-03-02T11:00:42.475Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000049,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,16057,2026-03-02T11:59:46.383Z,2026-03-02T12:00:02.440Z,2026-03-02T12:00:02.940Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,true,duration_spike
exec_v02_0000050,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,14149,2026-03-02T13:00:16.070Z,2026-03-02T13:00:30.219Z,2026-03-02T13:00:30.719Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000051,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,2884,2026-03-02T14:00:03.864Z,2026-03-02T14:00:06.748Z,2026-03-02T14:00:07.248Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000052,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,14713,2026-03-02T15:00:13.390Z,2026-03-02T15:00:28.103Z,2026-03-02T15:00:28.603Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000053,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,5288,2026-03-02T07:59:57.608Z,2026-03-02T08:00:02.896Z,2026-03-02T08:00:03.396Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000054,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,16315,2026-03-02T08:59:55.091Z,2026-03-02T09:00:11.406Z,2026-03-02T09:00:11.906Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000055,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,5277,2026-03-02T10:00:15.674Z,2026-03-02T10:00:20.951Z,2026-03-02T10:00:21.451Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000056,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,12760,2026-03-02T10:59:53.374Z,2026-03-02T11:00:06.134Z,2026-03-02T11:00:06.634Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000057,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,5036,2026-03-02T12:00:19.847Z,2026-03-02T12:00:24.883Z,2026-03-02T12:00:25.383Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000058,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,13441,2026-03-02T13:00:21.356Z,2026-03-02T13:00:34.797Z,2026-03-02T13:00:35.297Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000059,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,3378,2026-03-02T14:00:41.436Z,2026-03-02T14:00:44.814Z,2026-03-02T14:00:45.314Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000060,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,8812,2026-03-02T14:59:57.361Z,2026-03-02T15:00:06.173Z,2026-03-02T15:00:06.673Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_v02_0000061,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,3443,2026-03-02T07:59:58.169Z,2026-03-02T08:00:01.612Z,2026-03-02T08:00:02.112Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000062,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,8614,2026-03-02T09:00:03.263Z,2026-03-02T09:00:11.877Z,2026-03-02T09:00:12.377Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000063,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,4991,2026-03-02T10:00:38.209Z,2026-03-02T10:00:43.200Z,2026-03-02T10:00:43.700Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000064,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,9131,2026-03-02T11:00:24.710Z,2026-03-02T11:00:33.841Z,2026-03-02T11:00:34.341Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000065,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,4240,2026-03-02T12:00:06.554Z,2026-03-02T12:00:10.794Z,2026-03-02T12:00:11.294Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_v02_0000066,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,11445,2026-03-02T13:00:42.050Z,2026-03-02T13:00:53.495Z,2026-03-02T13:00:53.995Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
