execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern,duration_seconds,log_duration,hour_of_day,day_of_week,hour_sin,hour_cos,day_sin,day_cos
exec_v02_0000025,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,3065,2026-03-01T08:00:05.997Z,2026-03-01T08:00:09.062Z,2026-03-01T08:00:09.562Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.065,8.028129059431759,8,0,0.8660254037844387,-0.4999999999999998,0,1
exec_v02_0000033,account_demo_c,workspace_sparse,device_sparse_0,actor_sparse,clean-vector-pro,3.6.1,CLEAN ART,success,,4398,2026-03-01T08:00:10.036Z,2026-03-01T08:00:14.434Z,2026-03-01T08:00:14.934Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.398,8.389132521348719,8,0,0.8660254037844387,-0.4999999999999998,0,1
exec_v02_0000001,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,5382,2026-03-01T08:00:14.313Z,2026-03-01T08:00:19.695Z,2026-03-01T08:00:20.195Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.382,8.591001118560957,8,0,0.8660254037844387,-0.4999999999999998,0,1
exec_v02_0000017,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,3668,2026-03-01T08:00:28.245Z,2026-03-01T08:00:31.913Z,2026-03-01T08:00:32.413Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.668,8.207674424355282,8,0,0.8660254037844387,-0.4999999999999998,0,1
exec_v02_0000009,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,6117,2026-03-01T08:00:40.047Z,2026-03-01T08:00:46.164Z,2026-03-01T08:00:46.664Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,6.117,8.718990524710849,8,0,0.8660254037844387,-0.4999999999999998,0,1
exec_v02_0000034,account_demo_c,workspace_sparse,device_sparse_1,actor_sparse,sepmaker-pro,1.6.0,Apply,success,,8386,2026-03-01T09:00:01.063Z,2026-03-01T09:00:09.449Z,2026-03-01T09:00:09.949Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,8.386,9.034438166984412,9,0,0.7071067811865476,-0.7071067811865475,0,1
exec_v02_0000002,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,success,,14943,2026-03-01T09:00:04.270Z,2026-03-01T09:00:19.213Z,2026-03-01T09:00:19.713Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,14.943,9.612065160468624,9,0,0.7071067811865476,-0.7071067811865475,0,1
exec_v02_0000010,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,9626,2026-03-01T09:00:21.831Z,2026-03-01T09:00:31.457Z,2026-03-01T09:00:31.957Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,9.626,9.172326929777967,9,0,0.7071067811865476,-0.7071067811865475,0,1
exec_v02_0000018,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,15738,2026-03-01T09:00:18.172Z,2026-03-01T09:00:33.910Z,2026-03-01T09:00:34.410Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,15.738,9.6638969875516,9,0,0.7071067811865476,-0.7071067811865475,0,1
exec_v02_0000026,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,8702,2026-03-01T09:00:42.483Z,2026-03-01T09:00:51.185Z,2026-03-01T09:00:51.685Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,8.702,9.071423072789514,9,0,0.7071067811865476,-0.7071067811865475,0,1
exec_v02_0000027,account_demo_b,workspace_incident,device_incident_0,actor_incident,clean-vector-pro,3.6.1,CLEAN ART,success,,4576,2026-03-01T10:00:21.056Z,2026-03-01T10:00:25.632Z,2026-03-01T10:00:26.132Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.576,8.428799040653642,10,0,0.49999999999999994,-0.8660254037844387,0,1
exec_v02_0000011,account_demo_a,workspace_review,device_review_0,actor_review,clean-vector-pro,3.6.1,CLEAN ART,success,,4050,2026-03-01T10:00:21.792Z,2026-03-01T10:00:25.842Z,2026-03-01T10:00:26.342Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.05,8.30671904320269,10,0,0.49999999999999994,-0.8660254037844387,0,1
exec_v02_0000003,account_demo_a,workspace_shared,device_stable_0,actor_stable,clean-vector-pro,3.6.1,CLEAN ART,success,,4341,2026-03-01T10:00:34.863Z,2026-03-01T10:00:39.204Z,2026-03-01T10:00:39.704Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.341,8.376090350438238,10,0,0.49999999999999994,-0.8660254037844387,0,1
exec_v02_0000019,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,failure,PROCESSING_FAILED,3772,2026-03-01T10:00:40.361Z,2026-03-01T10:00:44.133Z,2026-03-01T10:00:44.633Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.772,8.235625719964311,10,0,0.49999999999999994,-0.8660254037844387,0,1
exec_v02_0000035,account_demo_c,workspace_sparse,device_sparse_0,actor_sparse,clean-vector-pro,3.6.1,CLEAN ART,success,,4406,2026-03-01T10:00:45.849Z,2026-03-01T10:00:50.255Z,2026-03-01T10:00:50.755Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.406,8.390949464841986,10,0,0.49999999999999994,-0.8660254037844387,0,1
exec_v02_0000028,account_demo_b,workspace_incident,device_incident_1,actor_incident,sepmaker-pro,1.6.0,Apply,success,,11457,2026-03-01T10:59:57.745Z,2026-03-01T11:00:09.202Z,2026-03-01T11:00:09.702Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,11.457,9.346443454968522,11,0,0.258819045102521,-0.9659258262890682,0,1
exec_v02_0000036,account_demo_c,workspace_sparse,device_sparse_1,actor_sparse,sepmaker-pro,1.6.0,Apply,success,,8545,2026-03-01T11:00:01.250Z,2026-03-01T11:00:09.795Z,2026-03-01T11:00:10.295Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,8.545,9.05321861620397,11,0,0.258819045102521,-0.9659258262890682,0,1
exec_v02_0000004,account_demo_a,workspace_shared,device_stable_1,actor_stable,sepmaker-pro,1.6.0,Apply,failure,PROCESSING_FAILED,12449,2026-03-01T11:00:20.732Z,2026-03-01T11:00:33.181Z,2026-03-01T11:00:33.681Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,12.449,9.429475901892854,11,0,0.258819045102521,-0.9659258262890682,0,1
exec_v02_0000020,account_demo_b,workspace_shared,device_degraded_1,actor_degraded,sepmaker-pro,1.6.0,Apply,success,,11166,2026-03-01T11:00:40.540Z,2026-03-01T11:00:51.706Z,2026-03-01T11:00:52.206Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,11.166,9.320718279445792,11,0,0.258819045102521,-0.9659258262890682,0,1
exec_v02_0000012,account_demo_a,workspace_review,device_review_1,actor_review,sepmaker-pro,1.6.0,Apply,success,,13584,2026-03-01T11:00:43.577Z,2026-03-01T11:00:57.161Z,2026-03-01T11:00:57.661Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,13.584,9.516721521860449,11,0,0.258819045102521,-0.9659258262890682,0,1
exec_v02_0000021,account_demo_b,workspace_shared,device_degraded_0,actor_degraded,clean-vector-pro,3.6.1,CLEAN ART,success,,5302,2026-03-01T12:00:07.304Z,2026-03-01T12:00:12.606Z,2026-03-01T12:00:13.106Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.302,8.57602797713713,12,0,1.2246467991473532e-16,-1,0,1
