execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern,duration_seconds,log_duration,hour_of_day,day_of_week,hour_sin,hour_cos,day_sin,day_cos
exec_syn_000001,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,18246,2026-06-01T15:14:04.754Z,2026-06-01T15:14:23.000Z,2026-06-01T15:14:23.566Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,18.246,9.811756,15,1,-0.707107,-0.707107,0.781831,0.623490
exec_syn_000002,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,8578,2026-06-01T13:51:11.422Z,2026-06-01T13:51:20.000Z,2026-06-01T13:51:21.053Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,8.578,9.057073,13,1,-0.258819,-0.965926,0.781831,0.623490
exec_syn_000003,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,sepmaker-pro,1.6.0,Apply,success,,10447,2026-06-01T13:20:30.553Z,2026-06-01T13:20:41.000Z,2026-06-01T13:20:41.539Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,10.447,9.254166,13,1,-0.258819,-0.965926,0.781831,0.623490
exec_syn_000004,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,sepmaker-pro,1.6.0,Apply,success,,10080,2026-06-01T08:30:51.920Z,2026-06-01T08:31:02.000Z,2026-06-01T08:31:03.006Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,10.080,9.218408,8,1,0.866025,-0.500000,0.781831,0.623490
exec_syn_000005,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4860,2026-06-01T09:39:16.140Z,2026-06-01T09:39:21.000Z,2026-06-01T09:39:22.484Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.860,8.488999,9,1,0.707107,-0.707107,0.781831,0.623490
exec_syn_000006,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5065,2026-06-01T08:22:24.935Z,2026-06-01T08:22:30.000Z,2026-06-01T08:22:31.260Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.065,8.530307,8,1,0.866025,-0.500000,0.781831,0.623490
exec_syn_000007,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,sepmaker-pro,1.6.0,Apply,success,,9923,2026-06-01T11:25:11.077Z,2026-06-01T11:25:21.000Z,2026-06-01T11:25:21.917Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,9.923,9.202711,11,1,0.258819,-0.965926,0.781831,0.623490
exec_syn_000008,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,sepmaker-pro,1.6.0,Apply,success,,12660,2026-06-01T09:24:09.340Z,2026-06-01T09:24:22.000Z,2026-06-01T09:24:23.343Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,12.660,9.446282,9,1,0.707107,-0.707107,0.781831,0.623490
exec_syn_000009,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,72894,2026-06-01T14:58:52.106Z,2026-06-01T15:00:05.000Z,2026-06-01T15:00:05.279Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,true,duration_spike,72.894,11.196775,15,1,-0.707107,-0.707107,0.781831,0.623490
exec_syn_000010,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,5932,2026-06-01T10:46:26.068Z,2026-06-01T10:46:32.000Z,2026-06-01T10:46:32.795Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.932,8.688285,10,1,0.500000,-0.866025,0.781831,0.623490
exec_syn_000011,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3386,2026-06-01T15:42:39.614Z,2026-06-01T15:42:43.000Z,2026-06-01T15:42:44.391Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.386,8.127700,15,1,-0.707107,-0.707107,0.781831,0.623490
exec_syn_000012,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,16183,2026-06-01T13:16:27.817Z,2026-06-01T13:16:44.000Z,2026-06-01T13:16:45.053Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,16.183,9.691778,13,1,-0.258819,-0.965926,0.781831,0.623490
exec_syn_000013,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,sepmaker-pro,1.6.0,Apply,failure,PROCESSING_FAILED,8911,2026-06-01T11:51:15.089Z,2026-06-01T11:51:24.000Z,2026-06-01T11:51:24.539Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,8.911,9.095154,11,1,0.258819,-0.965926,0.781831,0.623490
exec_syn_000014,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4594,2026-06-01T10:39:14.406Z,2026-06-01T10:39:19.000Z,2026-06-01T10:39:20.041Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.594,8.432724,10,1,0.500000,-0.866025,0.781831,0.623490
exec_syn_000015,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,15118,2026-06-01T09:49:45.882Z,2026-06-01T09:50:01.000Z,2026-06-01T09:50:02.308Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,15.118,9.623708,9,1,0.707107,-0.707107,0.781831,0.623490
exec_syn_000016,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3993,2026-06-01T11:49:04.007Z,2026-06-01T11:49:08.000Z,2026-06-01T11:49:09.369Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.993,8.292549,11,1,0.258819,-0.965926,0.781831,0.623490
exec_syn_000017,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,sepmaker-pro,1.6.0,Apply,success,,11437,2026-06-02T09:53:14.563Z,2026-06-02T09:53:26.000Z,2026-06-02T09:53:26.383Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,11.437,9.344696,9,2,0.707107,-0.707107,0.974928,-0.222521
exec_syn_000018,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4031,2026-06-02T08:05:17.969Z,2026-06-02T08:05:22.000Z,2026-06-02T08:05:23.065Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.031,8.302018,8,2,0.866025,-0.500000,0.974928,-0.222521
exec_syn_000019,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,13071,2026-06-02T12:37:16.929Z,2026-06-02T12:37:30.000Z,2026-06-02T12:37:30.324Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,13.071,9.478228,12,2,0.000000,-1.000000,0.974928,-0.222521
exec_syn_000020,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4337,2026-06-02T13:14:58.663Z,2026-06-02T13:15:03.000Z,2026-06-02T13:15:03.621Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.337,8.375169,13,2,-0.258819,-0.965926,0.974928,-0.222521
exec_syn_000021,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3274,2026-06-02T15:00:24.726Z,2026-06-02T15:00:28.000Z,2026-06-02T15:00:29.160Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.274,8.094073,15,2,-0.707107,-0.707107,0.974928,-0.222521
exec_syn_000022,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4771,2026-06-02T11:13:49.229Z,2026-06-02T11:13:54.000Z,2026-06-02T11:13:54.408Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.771,8.470521,11,2,0.258819,-0.965926,0.974928,-0.222521
exec_syn_000023,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,4263,2026-06-02T12:38:38.737Z,2026-06-02T12:38:43.000Z,2026-06-02T12:38:43.309Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,4.263,8.357963,12,2,0.000000,-1.000000,0.974928,-0.222521
exec_syn_000024,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4666,2026-06-02T10:06:08.334Z,2026-06-02T10:06:13.000Z,2026-06-02T10:06:13.703Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.666,8.448272,10,2,0.500000,-0.866025,0.974928,-0.222521
exec_syn_000025,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,13050,2026-06-02T17:48:46.950Z,2026-06-02T17:49:00.000Z,2026-06-02T17:49:00.913Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,13.050,9.476620,17,2,-0.965926,-0.258819,0.974928,-0.222521
