execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern,duration_seconds,log_duration,hour_of_day,day_of_week,hour_sin,hour_cos,day_sin,day_cos,model_id,anomaly_score,anomaly_threshold,is_anomaly,severity,baseline_mad_flag
exec_syn_001000,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,5715,2026-08-02T14:18:58.285Z,2026-08-02T14:19:04.000Z,2026-08-02T14:19:04.445Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,5.715,8.651025,14,0,-0.500000,-0.866025,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.419572,0.588939,false,low,false
exec_syn_000993,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,6150,2026-08-02T15:18:18.850Z,2026-08-02T15:18:25.000Z,2026-08-02T15:18:25.937Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,6.150,8.724370,15,0,-0.707107,-0.707107,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.441284,0.588939,false,low,false
exec_syn_000994,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3085,2026-08-02T15:22:36.915Z,2026-08-02T15:22:40.000Z,2026-08-02T15:22:40.581Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.085,8.034631,15,0,-0.707107,-0.707107,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.482111,0.588939,false,low,false
exec_syn_001008,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,5427,2026-08-02T15:33:06.573Z,2026-08-02T15:33:12.000Z,2026-08-02T15:33:12.963Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.427,8.599326,15,0,-0.707107,-0.707107,0.000000,1.000000,clean-vector-pro__CLEAN ART,0.422634,0.588939,false,low,false
exec_syn_001021,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4088,2026-08-03T09:48:17.912Z,2026-08-03T09:48:22.000Z,2026-08-03T09:48:23.495Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.088,8.316056,9,1,0.707107,-0.707107,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.394092,0.588939,false,low,false
exec_syn_001010,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,failure,HOST_UNAVAILABLE,4410,2026-08-03T10:03:06.590Z,2026-08-03T10:03:11.000Z,2026-08-03T10:03:11.920Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.410,8.391857,10,1,0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.394893,0.588939,false,low,false
exec_syn_001023,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4758,2026-08-03T13:53:17.242Z,2026-08-03T13:53:22.000Z,2026-08-03T13:53:22.315Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.758,8.467793,13,1,-0.258819,-0.965926,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.394118,0.588939,false,low,false
exec_syn_001020,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3430,2026-08-03T14:55:35.570Z,2026-08-03T14:55:39.000Z,2026-08-03T14:55:39.931Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.430,8.140607,14,1,-0.500000,-0.866025,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.433648,0.588939,false,low,false
exec_syn_001011,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5007,2026-08-03T15:07:57.993Z,2026-08-03T15:08:03.000Z,2026-08-03T15:08:03.726Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.007,8.518792,15,1,-0.707107,-0.707107,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.415774,0.588939,false,low,false
exec_syn_001012,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,3555,2026-08-03T17:48:44.445Z,2026-08-03T17:48:48.000Z,2026-08-03T17:48:48.463Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.555,8.176392,17,1,-0.965926,-0.258819,0.781831,0.623490,clean-vector-pro__CLEAN ART,0.429271,0.588939,false,low,false
exec_syn_001037,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,4750,2026-08-04T09:04:50.250Z,2026-08-04T09:04:55.000Z,2026-08-04T09:04:55.644Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.750,8.466110,9,2,0.707107,-0.707107,0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.395542,0.588939,false,low,false
exec_syn_001030,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,clean-vector-pro,3.6.0,CLEAN ART,success,,3193,2026-08-04T13:10:44.807Z,2026-08-04T13:10:48.000Z,2026-08-04T13:10:48.496Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal,3.193,8.069029,13,2,-0.258819,-0.965926,0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.457339,0.588939,false,low,false
exec_syn_001027,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4681,2026-08-04T14:39:41.319Z,2026-08-04T14:39:46.000Z,2026-08-04T14:39:46.463Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.681,8.451481,14,2,-0.500000,-0.866025,0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.400485,0.588939,false,low,false
exec_syn_001038,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,3759,2026-08-04T17:11:15.241Z,2026-08-04T17:11:19.000Z,2026-08-04T17:11:19.920Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.759,8.232174,17,2,-0.965926,-0.258819,0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.433674,0.588939,false,low,false
exec_syn_001025,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,3772,2026-08-04T17:39:28.228Z,2026-08-04T17:39:32.000Z,2026-08-04T17:39:33.064Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.772,8.235626,17,2,-0.965926,-0.258819,0.974928,-0.222521,clean-vector-pro__CLEAN ART,0.429822,0.588939,false,low,false
exec_syn_001049,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4953,2026-08-05T11:53:39.047Z,2026-08-05T11:53:44.000Z,2026-08-05T11:53:45.306Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.953,8.507951,11,3,0.258819,-0.965926,0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.421758,0.588939,false,low,false
exec_syn_001048,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,3673,2026-08-05T13:49:49.327Z,2026-08-05T13:49:53.000Z,2026-08-05T13:49:53.774Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,3.673,8.209036,13,3,-0.258819,-0.965926,0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.426879,0.588939,false,low,false
exec_syn_001051,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5846,2026-08-05T13:56:28.154Z,2026-08-05T13:56:34.000Z,2026-08-05T13:56:34.470Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.846,8.673684,13,3,-0.258819,-0.965926,0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.426389,0.588939,false,low,false
exec_syn_001043,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,4238,2026-08-05T15:29:07.762Z,2026-08-05T15:29:12.000Z,2026-08-05T15:29:12.700Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.238,8.352083,15,3,-0.707107,-0.707107,0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.390773,0.588939,false,low,false
exec_syn_001053,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,5744,2026-08-05T15:52:39.256Z,2026-08-05T15:52:45.000Z,2026-08-05T15:52:45.602Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,5.744,8.656085,15,3,-0.707107,-0.707107,0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.418847,0.588939,false,low,false
exec_syn_001064,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4375,2026-08-06T08:54:18.625Z,2026-08-06T08:54:23.000Z,2026-08-06T08:54:23.491Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal,4.375,8.383890,8,4,0.866025,-0.500000,-0.433884,-0.900969,clean-vector-pro__CLEAN ART,0.393382,0.588939,false,low,false
