execution_id,account_id,workspace_id,device_id,actor_uid,tool_id,tool_version,action,status,error_code,duration_ms,started_at,completed_at,received_at,source,host_version,suite_version,device_platform,data_origin,expected_anomaly,synthetic_pattern
exec_syn_000001,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,18246,2026-06-01T15:14:04.754Z,2026-06-01T15:14:23.000Z,2026-06-01T15:14:23.566Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000002,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,8578,2026-06-01T13:51:11.422Z,2026-06-01T13:51:20.000Z,2026-06-01T13:51:21.053Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000003,acct_demo_02,ws_finishing_a,dev_mac_01,actor_demo_03,sepmaker-pro,1.6.0,Apply,success,,10447,2026-06-01T13:20:30.553Z,2026-06-01T13:20:41.000Z,2026-06-01T13:20:41.539Z,local_bridge,Illustrator 29.0,Operation Suite 3.1,macos,SYNTHETIC,false,normal
exec_syn_000004,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,sepmaker-pro,1.6.0,Apply,success,,10080,2026-06-01T08:30:51.920Z,2026-06-01T08:31:02.000Z,2026-06-01T08:31:03.006Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000005,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,clean-vector-pro,3.6.0,CLEAN ART,success,,4860,2026-06-01T09:39:16.140Z,2026-06-01T09:39:21.000Z,2026-06-01T09:39:22.484Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000006,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,clean-vector-pro,3.6.0,CLEAN ART,success,,5065,2026-06-01T08:22:24.935Z,2026-06-01T08:22:30.000Z,2026-06-01T08:22:31.260Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000007,acct_demo_01,ws_prepress_a,dev_win_01,actor_demo_01,sepmaker-pro,1.6.0,Apply,success,,9923,2026-06-01T11:25:11.077Z,2026-06-01T11:25:21.000Z,2026-06-01T11:25:21.917Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000008,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,sepmaker-pro,1.6.0,Apply,success,,12660,2026-06-01T09:24:09.340Z,2026-06-01T09:24:22.000Z,2026-06-01T09:24:23.343Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
exec_syn_000009,acct_demo_03,ws_production_a,dev_win_03,actor_demo_04,sepmaker-pro,1.6.0,Apply,success,,72894,2026-06-01T14:58:52.106Z,2026-06-01T15:00:05.000Z,2026-06-01T15:00:05.279Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,true,duration_spike
exec_syn_000010,acct_demo_01,ws_prepress_b,dev_win_02,actor_demo_02,clean-vector-pro,3.6.0,CLEAN ART,success,,5932,2026-06-01T10:46:26.068Z,2026-06-01T10:46:32.000Z,2026-06-01T10:46:32.795Z,local_bridge,Illustrator 28.5,Operation Suite 3.1,windows,SYNTHETIC,false,normal
